Date,Open,High,Low,Close,Adj Close,Volume
,6.455,6.640000000000001,6.03,6.16,6.16,10809750
,6.3575,6.485,5.95,6.125,6.125,8435475
2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200
,6.395,6.4975000000000005,6.01,6.295,6.295,7075650
,6.529999999999999,6.665,6.15,6.5,6.5,8090100
,6.664999999999999,6.8325,6.29,6.705,6.705,9104550
2020-09-14,6.8,7,6.43,6.91,6.91,10119000
,6.8149999999999995,7.0649999999999995,6.495,6.955,6.955,9025125
,6.83,7.13,6.5600000000000005,7,7,7931250
,6.845000000000001,7.195,6.625,7.045,7.045,6837375
2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500
,6.9025,7.704999999999999,6.775,7.4875,7.4875,9121700
,6.945,8.149999999999999,6.86,7.885,7.885,12499900
,6.987500000000001,8.594999999999999,6.945,8.282499999999999,8.282499999999999,15878100
2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300
,7.415000000000001,9.2225,7.375,8.809999999999999,8.809999999999999,18698900
,7.800000000000001,9.405,7.720000000000001,8.94,8.94,18141500
,8.185,9.587499999999999,8.065000000000001,9.07,9.07,17584100
2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700
,8.7275,9.77,8.535,9.2675,9.2675,17121900
,8.885,9.77,8.66,9.335,9.335,17217100
,9.0425,9.77,8.785,9.4025,9.4025,17312300
2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500
,9.237499999999999,9.7275,8.7775,9.29,9.29,14965575
,9.274999999999999,9.684999999999999,8.645,9.11,9.11,12523650
,9.3125,9.642499999999998,8.5125,8.93,8.93,10081725
2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800
,9.625,9.9925,8.760000000000002,9.2025,9.2025,14417975
,9.899999999999999,10.385,9.14,9.655000000000001,9.655000000000001,21196150
,10.174999999999999,10.7775,9.52,10.107500000000002,10.107500000000002,27974325
2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500
,10.487499999999999,11.092500000000001,9.905000000000001,10.43,10.43,28727175
,10.524999999999999,11.015,9.91,10.3,10.3,22701850
,10.5625,10.9375,9.915,10.17,10.17,16676525
2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200
,10.377500000000001,10.5975,9.692499999999999,9.815,9.815,9973100
,10.155000000000001,10.335,9.465,9.59,9.59,9295000
,9.932500000000001,10.072500000000002,9.2375,9.365,9.365,8616900
2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800
,9.58,9.9025,9.032499999999999,9.36,9.36,7832900
,9.45,9.995000000000001,9.055,9.58,9.58,7727000
,9.32,10.0875,9.0775,9.8,9.8,7621100
2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200
,9.432500000000001,10.2,9.212499999999999,10.0375,10.0375,7327475
,9.675,10.219999999999999,9.325,10.055,10.055,7139750
,9.9175,10.239999999999998,9.4375,10.0725,10.0725,6952025
2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300
,10.120000000000001,10.3575,9.645,10.155,10.155,6382625
,10.08,10.455,9.74,10.219999999999999,10.219999999999999,6000950
,10.04,10.5525,9.835,10.285,10.285,5619275
2020-09-29,10,10.65,9.93,10.35,10.35,5237600
,10.0625,10.6775,9.9625,10.3125,10.3125,5447950
,10.125,10.705,9.995000000000001,10.274999999999999,10.274999999999999,5658300
,10.1875,10.7325,10.0275,10.237499999999999,10.237499999999999,5868650
2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000
,10.21,10.6325,9.967500000000001,10.0925,10.0925,5697775
,10.17,10.504999999999999,9.875,9.985,9.985,5316550
,10.129999999999999,10.3775,9.782499999999999,9.8775,9.8775,4935325
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100
,9.9125,10.1325,9.592500000000001,9.675,9.675,4500700
,9.735,10.015,9.495000000000001,9.58,9.58,4447300
,9.557500000000001,9.8975,9.3975,9.485,9.485,4393900
2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500
,9.395,9.732499999999998,9.287500000000001,9.4075,9.4075,3956625
,9.41,9.684999999999999,9.275,9.425,9.425,3572750
,9.425,9.6375,9.2625,9.4425,9.4425,3188875
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
,9.469999999999999,9.6525,9.2125,9.377500000000001,9.377500000000001,3237600
,9.5,9.715,9.175,9.295000000000002,9.295000000000002,3670200
